,time,open,close,low,high,diff,dir,token,dif,body,shadow_up,shadow_down
135,2022-06-08 00:45:00,1840.6,1839.25,1837.15,1845.15,1.35,-,ETHUSD,1.35,0.0,4.550000000000182,2.099999999999909
136,2022-06-08 01:00:00,1839.25,1841.3,1837.6,1844.7,2.05,+,ETHUSD,2.05,2.0499999999999545,3.400000000000091,1.650000000000091
137,2022-06-08 01:15:00,1841.3,1840.75,1836.1,1844.4,0.55,-,ETHUSD,0.55,0.0,3.1000000000001364,4.650000000000091
138,2022-06-08 01:30:00,1840.75,1824.25,1822.6,1841.75,16.5,-,ETHUSD,16.5,0.0,1.0,1.650000000000091
139,2022-06-08 01:45:00,1824.25,1806.2,1748.8,1831.3,18.05,-,ETHUSD,18.05,0.0,7.0499999999999545,57.40000000000009
140,2022-06-08 02:00:00,1806.2,1802.45,1779.7,1809.8,3.75,-,ETHUSD,3.75,0.0,3.599999999999909,22.75
141,2022-06-08 02:15:00,1802.45,1803.15,1791.0,1818.5,0.7,+,ETHUSD,0.7,0.7000000000000455,15.349999999999909,11.450000000000045
142,2022-06-08 02:30:00,1803.15,1821.15,1803.15,1831.0,18.0,+,ETHUSD,18.0,18.0,9.849999999999909,0.0
143,2022-06-08 02:45:00,1821.15,1810.3,1808.95,1824.7,10.85,-,ETHUSD,10.85,0.0,3.5499999999999545,1.349999999999909
144,2022-06-08 03:00:00,1810.3,1821.3,1808.75,1821.95,11.0,+,ETHUSD,11.0,11.0,0.650000000000091,1.5499999999999545
145,2022-06-08 03:15:00,1821.3,1822.25,1811.6,1822.5,0.95,+,ETHUSD,0.95,0.9500000000000455,0.25,9.700000000000045
146,2022-06-08 03:30:00,1822.25,1816.25,1815.7,1826.05,6.0,-,ETHUSD,6.0,0.0,3.7999999999999545,0.5499999999999545
147,2022-06-08 03:45:00,1816.25,1811.5,1810.3,1818.85,4.75,-,ETHUSD,4.75,0.0,2.599999999999909,1.2000000000000455
148,2022-06-08 04:00:00,1811.5,1804.2,1785.95,1812.35,7.3,-,ETHUSD,7.3,0.0,0.849999999999909,18.25
149,2022-06-08 04:15:00,1804.2,1816.0,1803.8,1819.5,11.8,+,ETHUSD,11.8,11.799999999999955,3.5,0.40000000000009095
150,2022-06-08 04:30:00,1816.0,1817.95,1812.75,1825.75,1.95,+,ETHUSD,1.95,1.9500000000000455,7.7999999999999545,3.25
151,2022-06-08 04:45:00,1817.95,1818.7,1812.55,1818.95,0.75,+,ETHUSD,0.75,0.75,0.25,5.400000000000091
152,2022-06-08 05:00:00,1818.7,1826.15,1817.0,1834.75,7.45,+,ETHUSD,7.45,7.4500000000000455,8.599999999999909,1.7000000000000455
153,2022-06-08 05:15:00,1826.15,1824.85,1821.45,1829.9,1.3,-,ETHUSD,1.3,0.0,3.75,3.3999999999998636
154,2022-06-08 05:30:00,1824.85,1826.55,1824.85,1834.65,1.7,+,ETHUSD,1.7,1.7000000000000455,8.100000000000136,0.0
155,2022-06-08 05:45:00,1826.55,1822.9,1820.3,1827.55,3.65,-,ETHUSD,3.65,0.0,1.0,2.6000000000001364
156,2022-06-08 06:00:00,1822.9,1812.45,1809.3,1825.9,10.45,-,ETHUSD,10.45,0.0,3.0,3.150000000000091
157,2022-06-08 06:15:00,1812.45,1781.9,1776.0,1812.45,30.55,-,ETHUSD,30.55,0.0,0.0,5.900000000000091
158,2022-06-08 06:30:00,1781.9,1769.75,1763.2,1782.15,12.15,-,ETHUSD,12.15,0.0,0.25,6.5499999999999545
159,2022-06-08 06:45:00,1769.75,1777.4,1768.4,1793.1,7.65,+,ETHUSD,7.65,7.650000000000091,15.699999999999818,1.349999999999909
160,2022-06-08 07:00:00,1777.4,1781.05,1770.0,1784.1,3.65,+,ETHUSD,3.65,3.6499999999998636,3.0499999999999545,7.400000000000091
161,2022-06-08 07:15:00,1781.05,1787.0,1779.05,1788.55,5.95,+,ETHUSD,5.95,5.9500000000000455,1.5499999999999545,2.0
162,2022-06-08 07:30:00,1787.0,1788.8,1781.6,1791.4,1.8,+,ETHUSD,1.8,1.7999999999999545,2.6000000000001364,5.400000000000091
163,2022-06-08 07:45:00,1788.8,1785.5,1784.4,1793.95,3.3,-,ETHUSD,3.3,0.0,5.150000000000091,1.099999999999909
164,2022-06-08 08:00:00,1785.5,1791.75,1783.35,1795.75,6.25,+,ETHUSD,6.25,6.25,4.0,2.150000000000091
165,2022-06-08 08:15:00,1791.75,1788.8,1786.25,1792.9,2.95,-,ETHUSD,2.95,0.0,1.150000000000091,2.5499999999999545
166,2022-06-08 08:30:00,1788.8,1810.8,1788.2,1816.05,22.0,+,ETHUSD,22.0,22.0,5.25,0.599999999999909
167,2022-06-08 08:45:00,1810.8,1809.7,1805.55,1813.9,1.1,-,ETHUSD,1.1,0.0,3.1000000000001364,4.150000000000091
168,2022-06-08 09:00:00,1809.7,1804.6,1804.15,1816.3,5.1,-,ETHUSD,5.1,0.0,6.599999999999909,0.4499999999998181
169,2022-06-08 09:15:00,1804.6,1798.5,1793.15,1807.95,6.1,-,ETHUSD,6.1,0.0,3.3500000000001364,5.349999999999909
170,2022-06-08 09:30:00,1798.5,1798.45,1796.9,1802.6,0.05,-,ETHUSD,0.05,0.0,4.099999999999909,1.5499999999999545
171,2022-06-08 09:45:00,1798.45,1804.0,1796.5,1805.3,5.55,+,ETHUSD,5.55,5.5499999999999545,1.2999999999999545,1.9500000000000455
172,2022-06-08 10:00:00,1804.0,1796.95,1786.95,1804.9,7.05,-,ETHUSD,7.05,0.0,0.900000000000091,10.0
173,2022-06-08 10:15:00,1796.95,1795.7,1791.05,1797.95,1.25,-,ETHUSD,1.25,0.0,1.0,4.650000000000091
174,2022-06-08 10:30:00,1795.7,1801.4,1791.75,1801.4,5.7,+,ETHUSD,5.7,5.7000000000000455,0.0,3.9500000000000455
175,2022-06-08 10:45:00,1801.4,1803.45,1799.05,1812.95,2.05,+,ETHUSD,2.05,2.0499999999999545,9.5,2.3500000000001364
176,2022-06-08 11:00:00,1803.45,1801.7,1798.7,1807.95,1.75,-,ETHUSD,1.75,0.0,4.5,3.0
177,2022-06-08 11:15:00,1801.7,1804.15,1793.8,1806.85,2.45,+,ETHUSD,2.45,2.4500000000000455,2.699999999999818,7.900000000000091
178,2022-06-08 11:30:00,1804.15,1806.3,1798.8,1807.3,2.15,+,ETHUSD,2.15,2.1499999999998636,1.0,5.350000000000136
179,2022-06-08 11:45:00,1806.3,1805.5,1801.15,1808.85,0.8,-,ETHUSD,0.8,0.0,2.5499999999999545,4.349999999999909
180,2022-06-08 12:00:00,1805.5,1800.7,1795.45,1806.45,4.8,-,ETHUSD,4.8,0.0,0.9500000000000455,5.25
181,2022-06-08 12:15:00,1800.7,1799.5,1795.45,1801.75,1.2,-,ETHUSD,1.2,0.0,1.0499999999999545,4.0499999999999545
182,2022-06-08 12:30:00,1799.5,1810.4,1798.3,1812.2,10.9,+,ETHUSD,10.9,10.900000000000091,1.7999999999999545,1.2000000000000455
183,2022-06-08 12:45:00,1810.4,1814.8,1804.05,1814.8,4.4,+,ETHUSD,4.4,4.399999999999864,0.0,6.350000000000136
184,2022-06-08 13:00:00,1814.8,1803.4,1802.8,1815.1,11.4,-,ETHUSD,11.4,0.0,0.2999999999999545,0.6000000000001364
185,2022-06-08 13:15:00,1803.4,1804.4,1801.85,1808.5,1.0,+,ETHUSD,1.0,1.0,4.099999999999909,1.550000000000182
186,2022-06-08 13:30:00,1804.4,1807.65,1803.85,1809.95,3.25,+,ETHUSD,3.25,3.25,2.2999999999999545,0.5500000000001819
187,2022-06-08 13:45:00,1807.65,1803.9,1801.3,1807.65,3.75,-,ETHUSD,3.75,0.0,0.0,2.6000000000001364
188,2022-06-08 14:00:00,1803.9,1807.55,1800.05,1808.5,3.65,+,ETHUSD,3.65,3.6499999999998636,0.9500000000000455,3.8500000000001364
189,2022-06-08 14:15:00,1807.55,1806.6,1805.0,1811.55,0.95,-,ETHUSD,0.95,0.0,4.0,1.599999999999909
